priority,level,lesson_code,lesson_title,asset_type,speed,file_name,storage_path,text_nl,notes
"P0","A0","A0-01","Pedir Ajuda Quando Nao Entendo","word","natural","sorry.native.nl.mp3","audio/A0-01/words/sorry.native.nl.mp3","sorry","Record isolated word clearly"
"P0","A0","A0-01","Pedir Ajuda Quando Nao Entendo","word","natural","ik.native.nl.mp3","audio/A0-01/words/ik.native.nl.mp3","ik","Record isolated word clearly"
"P0","A0","A0-01","Pedir Ajuda Quando Nao Entendo","word","natural","begrijp.native.nl.mp3","audio/A0-01/words/begrijp.native.nl.mp3","begrijp","Record isolated word clearly"
"P0","A0","A0-01","Pedir Ajuda Quando Nao Entendo","word","natural","het.native.nl.mp3","audio/A0-01/words/het.native.nl.mp3","het","Record isolated word clearly"
"P0","A0","A0-01","Pedir Ajuda Quando Nao Entendo","word","natural","niet.native.nl.mp3","audio/A0-01/words/niet.native.nl.mp3","niet","Record isolated word clearly"
"P0","A0","A0-01","Pedir Ajuda Quando Nao Entendo","word","natural","kunt.native.nl.mp3","audio/A0-01/words/kunt.native.nl.mp3","kunt","Record isolated word clearly"
"P0","A0","A0-01","Pedir Ajuda Quando Nao Entendo","word","natural","u.native.nl.mp3","audio/A0-01/words/u.native.nl.mp3","u","Optional review item"
"P0","A0","A0-01","Pedir Ajuda Quando Nao Entendo","word","natural","mij.native.nl.mp3","audio/A0-01/words/mij.native.nl.mp3","mij","Optional review item"
"P0","A0","A0-01","Pedir Ajuda Quando Nao Entendo","word","natural","helpen.native.nl.mp3","audio/A0-01/words/helpen.native.nl.mp3","helpen","Optional review item"
"P0","A0","A0-01","Pedir Ajuda Quando Nao Entendo","word","natural","herhalen.native.nl.mp3","audio/A0-01/words/herhalen.native.nl.mp3","herhalen","Optional review item"
"P0","A0","A0-01","Pedir Ajuda Quando Nao Entendo","word","natural","langzaam.native.nl.mp3","audio/A0-01/words/langzaam.native.nl.mp3","langzaam","Optional review item"
"P0","A0","A0-01","Pedir Ajuda Quando Nao Entendo","word","natural","spreken.native.nl.mp3","audio/A0-01/words/spreken.native.nl.mp3","spreken","Optional review item"
"P0","A0","A0-01","Pedir Ajuda Quando Nao Entendo","phrase","slow","sorry-ik-begrijp-het-niet.slow.native.nl.mp3","audio/A0-01/phrases/sorry-ik-begrijp-het-niet.slow.native.nl.mp3","Sorry, ik begrijp het niet.","Record slowly, with clear pauses."
"P0","A0","A0-01","Pedir Ajuda Quando Nao Entendo","phrase","natural","sorry-ik-begrijp-het-niet.native.nl.mp3","audio/A0-01/phrases/sorry-ik-begrijp-het-niet.native.nl.mp3","Sorry, ik begrijp 't niet.","Record at natural Dutch speed."
"P0","A0","A0-01","Pedir Ajuda Quando Nao Entendo","phrase","slow","kunt-u-mij-helpen.slow.native.nl.mp3","audio/A0-01/phrases/kunt-u-mij-helpen.slow.native.nl.mp3","Kunt u mij helpen?","Record slowly, with clear pauses."
"P0","A0","A0-01","Pedir Ajuda Quando Nao Entendo","phrase","natural","kunt-u-mij-helpen.native.nl.mp3","audio/A0-01/phrases/kunt-u-mij-helpen.native.nl.mp3","Kunt u mij helpen?","Record at natural Dutch speed."
"P0","A0","A0-01","Pedir Ajuda Quando Nao Entendo","phrase","slow","kunt-u-dat-herhalen.slow.native.nl.mp3","audio/A0-01/phrases/kunt-u-dat-herhalen.slow.native.nl.mp3","Kunt u dat herhalen?","Record slowly, with clear pauses."
"P0","A0","A0-01","Pedir Ajuda Quando Nao Entendo","phrase","natural","kunt-u-dat-herhalen.native.nl.mp3","audio/A0-01/phrases/kunt-u-dat-herhalen.native.nl.mp3","Kunt u dat herhalen?","Record at natural Dutch speed."
